Date,Adj Close,Open,High,Low,Close,Volume
2011-02-28,8378.8,8717.38,8955.13,8558.88,8558.88,2943555
2011-03-01,8456.38,8558.88,8638.13,8479.63,8638.13,1411998
2011-03-02,8378.8,8638.13,8638.13,8241.89,8558.88,2702168
2011-03-03,8378.8,8321.14,8638.13,8321.14,8558.88,1536599
2011-03-04,8378.8,8717.38,8717.38,8558.88,8558.88,1643164
2011-03-07,8378.8,8558.88,8638.13,8558.88,8558.88,837601
2011-03-08,8533.96,8558.88,8717.38,8558.88,8717.38,1472878
2011-03-09,8378.8,8717.38,8717.38,8321.14,8558.88,1110789
2011-03-10,8456.38,8479.63,8638.13,8479.63,8638.13,1902412
2011-03-11,8378.8,8717.38,8717.38,8558.88,8558.88,1823169
2011-03-14,8223.64,8400.38,8558.88,8400.38,8400.38,1130538
2011-03-15,8146.06,8321.14,8400.38,8321.14,8321.14,1199879
2011-03-16,8146.06,8400.38,8400.38,8241.89,8321.14,1553197
2011-03-17,8068.48,8321.14,8400.38,8241.89,8241.89,749207
2011-03-18,8223.64,8241.89,8400.38,8162.64,8400.38,2600088
2011-03-21,8223.64,8479.63,8479.63,8400.38,8400.38,1445933
2011-03-22,8223.64,8400.38,8479.63,8321.14,8400.38,1354011
2011-03-23,8301.22,8400.38,8479.63,8400.38,8479.63,640690
2011-03-24,8223.64,8400.38,8479.63,8321.14,8400.38,332800
2011-03-25,8146.06,8321.14,8321.14,8241.89,8321.14,625290
2011-03-28,8068.48,8400.38,8400.38,8162.64,8241.89,426173
2011-03-29,7990.89,8241.89,8241.89,8162.64,8162.64,222640
2011-03-30,7913.31,8083.39,8162.64,8004.14,8083.39,1240763
2011-03-31,7913.31,8083.39,8162.64,8004.14,8083.39,366108
2011-04-01,7742.63,8083.39,8083.39,7877.34,7909.04,774571
2011-04-04,8068.48,8241.89,8241.89,8241.89,8241.89,831669
2011-04-05,8456.38,8638.13,8638.13,8638.13,8638.13,774257
2011-04-06,8844.29,9034.38,9034.38,9034.38,9034.38,2046769
2011-04-07,8921.87,9430.62,9430.62,9034.38,9113.62,7534793
2011-04-08,8921.87,9034.38,9113.62,8955.13,9113.62,1359180
2011-04-13,8533.96,9113.62,9113.62,8717.38,8717.38,1161900
2011-04-14,8223.64,8479.63,8717.38,8400.38,8400.38,905865
2011-04-15,8223.64,8400.38,8479.63,8321.14,8400.38,1696667
2011-04-18,7990.89,8400.38,8400.38,8162.64,8162.64,750846
2011-04-19,7913.31,8004.14,8241.89,8004.14,8083.39,767631
2011-04-20,7835.73,8162.64,8162.64,8004.14,8004.14,1820202
2011-04-21,7835.73,8004.14,8083.39,7924.89,8004.14,794572
2011-04-22,7742.63,8162.64,8162.64,7909.04,7909.04,685861
2011-04-25,8068.48,7924.89,8241.89,7924.89,8241.89,658926
2011-04-26,7913.31,8241.89,8321.14,8083.39,8083.39,898862
2011-04-27,7913.31,8241.89,8241.89,7909.04,8083.39,1786384
2011-04-28,7835.73,8083.39,8083.39,7924.89,8004.14,670721
2011-04-29,7913.31,8004.14,8241.89,8004.14,8083.39,1254896
2011-05-04,7990.89,8004.14,8241.89,8004.14,8162.64,731923
2011-05-05,7990.89,8162.64,8162.64,8083.39,8162.64,625675
2011-05-06,8068.48,8162.64,8400.38,8162.64,8241.89,1093818
2011-05-09,8223.64,8400.38,8400.38,8241.89,8400.38,1071674
2011-05-10,8223.64,8400.38,8479.63,8400.38,8400.38,1163160
2011-05-11,8146.06,8241.89,8400.38,8241.89,8321.14,1872883
2011-05-12,8146.06,8162.64,8321.14,8162.64,8321.14,642080
2011-05-13,8146.06,8321.14,8400.38,8321.14,8321.14,1299816
2011-05-16,7990.89,8321.14,8400.38,8162.64,8162.64,968008
2011-05-17,7990.89,8083.39,8241.89,8083.39,8162.64,650157
2011-05-18,7913.31,7924.89,8083.39,7924.89,8083.39,768262
2011-05-19,7990.89,8162.64,8241.89,8083.39,8162.64,650405
2011-05-20,7835.73,8162.64,8162.64,7893.19,8004.14,1403795
2011-05-23,7447.82,7924.89,7924.89,7607.9,7607.9,1311362
2011-05-24,7075.43,7370.15,7386.0,7227.5,7227.5,1550101
2011-05-25,6734.07,6894.66,6910.51,6878.81,6878.81,1967142
2011-05-26,7059.92,6545.96,7211.65,6545.96,7211.65,1597169
2011-05-27,7075.43,7544.5,7544.5,7179.95,7227.5,2078186
2011-05-30,7028.88,7259.2,7259.2,7179.95,7179.95,1312243
2011-05-31,7028.88,7179.95,7179.95,7132.4,7179.95,775452
2011-06-01,7370.24,6894.66,7528.65,6894.66,7528.65,2591571
2011-06-02,7727.12,7750.54,7893.19,7718.84,7893.19,2160204
2011-06-03,7835.73,8083.39,8083.39,7877.34,8004.14,2587340
2011-06-06,7758.15,7924.89,8004.14,7861.49,7924.89,1731619
2011-06-07,8068.48,7782.24,8241.89,7782.24,8241.89,1790548
2011-06-08,7913.31,8558.88,8558.88,8083.39,8083.39,1687013
2011-06-09,7913.31,7924.89,8083.39,7924.89,8083.39,150024
2011-06-10,7835.73,8083.39,8162.64,8004.14,8004.14,800253
2011-06-13,7835.73,7924.89,8004.14,7924.89,8004.14,806367
2011-06-14,7758.15,7924.89,8321.14,7924.89,7924.89,1493700
2011-06-15,7758.15,7924.89,8004.14,7909.04,7924.89,2453957
2011-06-16,7835.73,7845.64,8083.39,7845.64,8004.14,438538
2011-06-17,7758.15,8083.39,8162.64,7924.89,7924.89,2974222
2011-06-20,7680.57,7924.89,8004.14,7845.64,7845.64,620497
2011-06-21,7758.15,7909.04,8004.14,7861.49,7924.89,690598
2011-06-22,7835.73,7924.89,8004.14,7909.04,8004.14,973816
2011-06-23,7711.6,7924.89,8004.14,7877.34,7877.34,721068
2011-06-24,7680.57,7877.34,7924.89,7845.64,7845.64,971111
2011-06-27,7540.92,7924.89,7924.89,7702.99,7702.99,747067
2011-06-28,7602.99,7702.99,7766.39,7702.99,7766.39,526684
2011-06-29,7463.34,7671.29,7766.39,7623.75,7623.75,972808
2011-06-30,7447.82,7766.39,7766.39,7592.05,7607.9,783153
2011-07-01,7230.6,7607.9,7687.14,7386.0,7386.0,876341
2011-07-04,7137.5,7386.0,7449.4,7290.9,7290.9,2133327
2011-07-05,7121.98,7290.9,7449.4,7275.05,7275.05,1631676
2011-07-06,7246.11,7290.9,7401.85,7290.9,7401.85,621831
2011-07-07,7230.6,7401.85,7449.4,7370.15,7386.0,580119
2011-07-08,7525.4,7386.0,7750.54,7386.0,7687.14,1101139
2011-07-11,7540.92,7687.14,7813.94,7623.75,7702.99,926434
2011-07-12,7649.54,7702.99,7829.79,7702.99,7813.94,1842411
2011-07-13,7758.15,7924.89,7924.89,7861.49,7924.89,1828971
2011-07-14,7742.63,7924.89,7924.89,7845.64,7909.04,853506
2011-07-15,7649.54,7845.64,7845.64,7766.39,7813.94,657535
2011-07-18,7665.05,7782.24,7829.79,7782.24,7829.79,565987
2011-07-19,7727.12,7813.94,7893.19,7813.94,7893.19,769460
2011-07-20,8068.48,7909.04,8241.89,7909.04,8241.89,2313267
2011-07-21,7913.31,8241.89,8241.89,8004.14,8083.39,1002018
2011-07-22,7913.31,8083.39,8162.64,8004.14,8083.39,924601
2011-07-25,7990.89,8004.14,8162.64,8004.14,8162.64,898227
2011-07-26,8146.06,8162.64,8400.38,8162.64,8321.14,1537612
2011-07-27,8533.96,8400.38,8717.38,8400.38,8717.38,2683115
2011-07-28,8844.29,8875.88,9034.38,8875.88,9034.38,3392904
2011-07-29,8921.87,9192.87,9192.87,8955.13,9113.62,6781967
2011-08-01,8611.55,8955.13,9034.38,8717.38,8796.63,3480853
2011-08-02,8301.22,8479.63,8796.63,8479.63,8479.63,1044225
2011-08-03,8456.38,8400.38,8638.13,8400.38,8638.13,758671
2011-08-04,8611.55,8638.13,8955.13,8638.13,8796.63,796395
2011-08-05,8533.96,8717.38,8796.63,8717.38,8717.38,704161
2011-08-08,8301.22,8558.88,8717.38,8479.63,8479.63,2259133
2011-08-09,7990.89,8241.89,8479.63,8162.64,8162.64,2676928
2011-08-10,8146.06,8241.89,8479.63,8241.89,8321.14,3083059
2011-08-11,8378.8,8321.14,8558.88,8241.89,8558.88,1994589
